Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202012,02,465000,195,    ,99990 ,00000 ,2948 ,999,99999, , ,99833      ,4,9,10,Petersburg Borough,4,4,1051766,5,10,1675000,0,0,0,1,15,6000000,2,2,670000,5,10,1675000,0,0,0,1,15,6000000
202012,02,505000,013,2900,67020 ,00000 ,976 ,999,99999, , ,99661      ,4,9,12,Sand Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,525000,122,2950,68340 ,00000 ,255 ,999,99999, , ,99663      ,4,9,6,Seldovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,529000,122,2960,68560 ,00000 ,2693 ,999,99999, , ,99664      ,4,9,12,Seward,11,11,2509000,0,0,0,0,0,0,0,0,0,11,11,2509000,0,0,0,0,0,0,0,0,0
202012,02,557000,220,    ,99990 ,00000 ,8881 ,999,99999, , ,99835      ,4,9,1,Sitka city and borough,8,8,1760372,1,2,306156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,561000,230,3050,70760 ,00000 ,968 ,999,99999, , ,998400415  ,4,9,12,Municipality of Skagway,1,1,300000,0,0,0,0,0,0,0,0,0,1,1,300000,0,0,0,0,0,0,0,0,0
202012,02,565000,122,3070,71640 ,00000 ,4163 ,999,99999, , ,99669      ,4,9,0,Soldotna,17,17,3478070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,581000,016,2880,66470 ,00000 ,479 ,999,99999, , ,99660      ,4,9,6,St. Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,597000,105,3290,76260 ,00000 ,131 ,999,99999, , ,998410052  ,4,9,12,Tenakee Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,625000,016,3430,80770 ,00000 ,4376 ,999,99999, , ,99685      ,4,9,12,Unalaska,1,1,296834,2,4,691450,0,0,0,0,0,0,1,1,296834,2,4,691450,0,0,0,0,0,0
