@type|@id|name|name:en|place|wikidata|@lat|@lon
node|11011045442|Motu Tuatefau||islet||-16.4677399|-151.7111381
node|11011045444|Motu Temiromiro||islet||-16.4669517|-151.7121478
node|11031500999|Tsaritsa Rock||island||57.0213688|-135.3258141
node|11031501000|Simpson Rock||island||57.0184652|-135.3482160
node|11807387270|ʻAta||island|Q423507|-22.3408036|-176.2062976
node|11917747269|Harbor Island||island||57.0475624|-135.3448137
node|11940263614|Мамонтовый остров||island||71.1474247|-179.7615678
node|12324413016|Aalikam Tanĝii||island||52.1905717|-174.1652755
node|12365704375|Taachim Tanĝii||island||54.0069528|-166.7183552
node|13172146687|Doi||island||-20.6363436|-178.7157478
node|13172146688|Ono Levu||island||-20.6629455|-178.7370514
node|13172214985|Udui||island||-20.6315172|-178.7494572
node|13172214986|Davura||island||-20.6533161|-178.7046021
node|13822830734|Toe Toe||islet||-15.8574306|-145.1130015
way|4060585|Mokapu Island||islet||21.1830187|-156.9237758
way|4060588|Okala Island||islet||21.1746280|-156.9287947
way|10384649|Kaʻula Island|Kaʻula Island|island|Q1450889|21.6546775|-160.5409329
way|10390766|Rim Island #2||islet||21.2942965|-157.6950860
way|10415821|Molokini Island|Molokini Island|islet|Q1225759|20.6322076|-156.4960879
way|10415839|Puʻukoaʻe|Puukoae Islet|islet|Q49673560|20.5114168|-156.6099421
way|10415853|Kaemi||islet||20.9810798|-156.5256970
way|10415859|Keōpuka Rock|Keopuka Rock|islet||20.8760667|-156.1723009
way|10418960|Coconut Island||islet|Q5139831|19.7298051|-155.0685527
way|10596226|Spit Island|Spit Island|islet|Q32023493|28.2065012|-177.3489527
way|15172039|Krishka Island||islet||56.6043517|-134.9952002
way|15681605|Hill Island||island|Q49641080|57.7490527|-136.2886161
way|15681770|Bamdoroshni Island||islet|Q49632309|57.0261369|-135.3349265
way|15681780|Golf Island||island||56.7918930|-135.3905029
way|15681799|Dippy Island||islet|Q49636649|57.6922835|-136.1285478
way|15681804|Saint Lazaria Island||islet||56.9867619|-135.7080117
way|15681851|Rachek Island||islet||56.7405319|-135.3870163
way|15681856|Little Rapids Island||island||57.4006366|-135.6332398
way|15681897|Little Biorka Island||islet||56.8663197|-135.5646972
way|15681907|Terbilon Island||islet||56.8294735|-135.5344849
way|15682028|Three Tree Island||islet||57.5967486|-136.1426313
way|15682089|Otstoia Island||islet||57.5629577|-135.4483871
way|15682122|Eagle Rock||islet||57.3094425|-135.8806336
way|15682127|Guide Island||islet||57.1334667|-135.5212936
way|15682128|Big Gavanski Island||island||57.1350102|-135.4263472
way|15682251|Katz Island||islet|Q49645575|57.0307235|-135.3182935
way|15682259|Arguello Island||islet||56.9857331|-135.1436615
way|15682261|Kane Island||islet||57.3229676|-135.6679993
way|15682280|Gillmore Islands||islet|Q49639051|57.0339623|-135.3240013
way|15682386|Winfred Island||islet||57.8010355|-136.3840438
way|15682414|Suloia Islet||islet||57.3976269|-135.6589126
way|15682452|Rogers Island||islet||56.7805062|-135.4669114
way|15682459|Error Island||islet||57.0092716|-135.3217239
way|15682475|Lodge Island||island||56.7718525|-135.2332153
way|15682526|Liesnoi Island||islet||57.4191055|-135.6076736
way|15682564|Paulina Island||islet||57.6380992|-136.0904697
way|15682571|Signal Island||island||57.0459640|-135.3918716
way|15682632|Unishka Island||islet||56.9079419|-135.3760833
way|15682656|Round Island||islet||57.3671035|-135.7132721
way|15682679|Koka Island||islet||56.9049682|-135.3846588
way|15682710|Klag Island||island||57.6212732|-136.0957700
